trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.5, 'e': 0.475340042005707}",25,0,-71.8116898370774,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,0,-27.441293583751104,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,0,-96.15449690595098,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",25,0,-106.38514021062738,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,14,9.282234008088869,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",20,0,-44.70666845738229,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",25,14,-20.56823106031271,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,3,13.573568957029138,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",20,7,-4.664862737521405,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",25,6,1.2410654966515118,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238936}",25,10,12.531535684957479,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.42559012338865465}",25,15,5.558165608889104,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4213342221547681}",20,0,-24.08858292213191,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322045}",20,0,-0.1656314207220957,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388825}",30,16,10.889697194530891,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254937}",25,10,30.432876927099542,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783239}",25,0,3.4810075618229925,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154065}",20,0,17.859852522655814,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.39667780642202527}",30,21,-17.197912406830575,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.392711028357805}",30,4,-102.57106137050204,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.38878391807422696}",20,0,-18.820725789239994,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3848960788934847}",30,4,32.76594875793799,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38104711810454983}",25,0,-48.603016296948866,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.37723664692350434}",30,22,2.181366773798075,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37346428045426927}",25,10,0.8594548398765331,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.36972963764972655}",25,8,-2.174674855725815,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36603234127322926}",20,14,1.070890003475166,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36237201786049694}",25,9,-8.827382656813056,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.358748297681892}",20,3,21.6076101850597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.35516081470507305}",25,3,-17.78628171302064,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.3516092065580223}",25,12,0.9207268405327094,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.34809311449244207}",20,0,-13.301112493273637,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.34461218334751764}",25,7,-6.048631256565893,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,0,-169.99758217142863,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.337754400898902}",25,13,-32.6890172865074,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.334376856889913}",20,11,-9.495637212267283,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,8,-39.24921465662205,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.3277227574378037}",20,0,-8.291449396171052,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,9,9.077130912980047,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",25,11,-36.13519390484797,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,0,-22.728678671959873,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,0,-36.82744909716394,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,18,8.389144313584957,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,0,-7.370758582563118,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,7,13.82367306997125,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,0,21.22002624163771,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",20,0,20.208534161015187,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",20,4,13.809665112464735,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
